107 | w about | f 1 | p 8 | 0.0008218913 1 0.0004411764 1 0.0004527618 0 0.00016728 
107 | w about | f 1 | p 0.0008218913 | 1 0.0004411764 1 0.0004527618 0 0.00016728 0.00016728 
108 | w about | f 8 | p 8 | 0.0008218913 1 0.0004411764 1 0.0004527618 0 0.00016728 
108 | w about | f 8 | p 0.0008218913 | 1 0.0004411764 1 0.0004527618 0 0.00016728 0.00016728 
109 | w above | f 1 | p 1 | 0.0001450396 0 0.0001470588 0 0.0001509206 0 0.00016728 
109 | w above | f 1 | p 0.0001450396 | 0 0.0001470588 0 0.0001509206 0 0.00016728 0.00016728 
110 | w abroad | f 1 | p 1 | 0.0001450396 0 0.0001470588 0 0.0001509206 0 0.00016728 
110 | w abroad | f 1 | p 0.0001450396 | 0 0.0001470588 0 0.0001509206 0 0.00016728 0.00016728 
111 | w absorb | f 1 | p 1 | 0.0001450396 0 0.0001470588 0 0.0001509206 0 0.00016728 
111 | w absorb | f 1 | p 0.0001450396 | 0 0.0001470588 0 0.0001509206 0 0.00016728 0.00016728 
112 | w abstraction | f 1 | p 1 | 0.0001450396 0 0.0001470588 0 0.0001509206 0 0.00016728 
112 | w abstraction | f 1 | p 0.0001450396 | 0 0.0001470588 0 0.0001509206 0 0.00016728 0.00016728 
113 | w abuse problem | f 1 | p 1 | 0.0001450396 0 0.0001470588 0 0.0001509206 0 0.00016728 
113 | w abuse problem | f 1 | p 0.0001450396 | 0 0.0001470588 0 0.0001509206 0 0.00016728 0.00016728 
114 | w abuse | f 1 | p 1 | 0.0001450396 0 0.0001470588 0 0.0001509206 0 0.00016728 
114 | w abuse | f 1 | p 0.0001450396 | 0 0.0001470588 0 0.0001509206 0 0.00016728 0.00016728 
115 | w ac | f 1 | p 1 | 0.0001450396 1 0.0004411764 1 0.0004527618 0 0.00016728 
115 | w ac | f 1 | p 0.0001450396 | 1 0.0004411764 1 0.0004527618 0 0.00016728 0.00016728 
116 | w acceleration | f 1 | p 1 | 0.0001450396 0 0.0001470588 0 0.0001509206 0 0.00016728 
116 | w acceleration | f 1 | p 0.0001450396 | 0 0.0001470588 0 0.0001509206 0 0.00016728 0.00016728 
117 | w access | f 2 | p 2 | 0.0002417327 0 0.0001470588 0 0.0001509206 0 0.00016728 
117 | w access | f 2 | p 0.0002417327 | 0 0.0001470588 0 0.0001509206 0 0.00016728 0.00016728 
118 | w accessibility | f 1 | p 1 | 0.0001450396 0 0.0001470588 0 0.0001509206 0 0.00016728 
118 | w accessibility | f 1 | p 0.0001450396 | 0 0.0001470588 0 0.0001509206 0 0.00016728 0.00016728 
119 | w accidentally | f 1 | p 1 | 0.0001450396 0 0.0001470588 0 0.0001509206 0 0.00016728 
119 | w accidentally | f 1 | p 0.0001450396 | 0 0.0001470588 0 0.0001509206 0 0.00016728 0.00016728 
120 | w account | f 5 | p 5 | 0.000531812 0 0.0001470588 0 0.0001509206 0 0.00016728 
